Data_padrao;SÃO PAULO;Valor
2014-02-01;OUTROS;1323642.0
2014-02-01;RESIDENCIAL;3496627.0
2014-02-01;TOTAL;12137492.0
2014-03-01;COMERCIAL;2595727.0
2014-03-01;INDUSTRIAL;4553560.0
2014-03-01;OUTROS;1254630.0
2014-03-01;RESIDENCIAL;3315447.0
2014-03-01;TOTAL;11719364.0
2014-04-01;COMERCIAL;2526917.0
2014-04-01;INDUSTRIAL;4540009.0
2014-04-01;OUTROS;1258289.0
2014-04-01;RESIDENCIAL;3225417.0
2014-04-01;TOTAL;11550632.0
2014-05-01;COMERCIAL;2428985.0
2014-05-01;INDUSTRIAL;4445981.0
2014-05-01;OUTROS;1253642.0
2014-05-01;RESIDENCIAL;3254318.0
2014-05-01;TOTAL;11382926.0
2014-06-01;COMERCIAL;2203224.0
2014-06-01;INDUSTRIAL;4272043.0
2014-06-01;OUTROS;1203152.0
2014-06-01;RESIDENCIAL;3056443.0
2014-06-01;TOTAL;10734862.0
2014-07-01;COMERCIAL;2209235.0
2014-07-01;INDUSTRIAL;4052978.0
2014-07-01;OUTROS;1219769.0
2014-07-01;RESIDENCIAL;3216509.0
2014-07-01;TOTAL;10698491.0
2014-08-01;COMERCIAL;2274013.0
2014-08-01;INDUSTRIAL;4304583.0
2014-08-01;OUTROS;1248290.0
2014-08-01;RESIDENCIAL;3220868.0
2014-08-01;TOTAL;11047754.0
2014-09-01;COMERCIAL;2333861.0
2014-09-01;INDUSTRIAL;4262281.0
2014-09-01;OUTROS;1281341.0
2014-09-01;RESIDENCIAL;3169411.0
2014-09-01;TOTAL;11046894.0
2014-10-01;COMERCIAL;2489951.0
2014-10-01;INDUSTRIAL;4231928.0
2014-10-01;OUTROS;1322074.0
2014-10-01;RESIDENCIAL;3334939.0
2014-10-01;TOTAL;11378892.0
2014-11-01;COMERCIAL;2620545.0
